,Lyrics
mollyringwald,"CHECK! You're now listening to Araabmuzik  Poppin' pills get 'em brought to my door like Avon This that silk suede leather Y'all niggas polyester and rayon I stay on them Warhols 9.0 and your skull caught Fuck them hoes that go hard That ride the dick like a go kart While I'm stacking up for that Goyard Y'all niggas playing that broke card Kush got me up in that solar Lines gotta nigga face polar Y'all ain't stuck in that poor part Y'all niggas never gonna go far Bitch I'm getting money fucking white hoes with the blonde hair So nigga don't even go there Yo ho pussy like coat hair I'll never hang my coat there I get head for the smoke fare Y'all niggas don't deserve air Yo ho look like wear and tear with hair like Cher Share and care Titties all looking like a sack of pears Y'all niggas still wearing Roca Wear Balmain jeans about a stack a pair Yo bitch be like they in there Watch the kids like daycare Araab beats like a bag of pills Danny Brown so that ain't fair Looking for your bitch like ""Who? What? Where?"" Triple that molly on the top front tip Chillin' in the deep I ain't going nowhere Ho suck me off then said take care Off a Drake CD don't go there Now the ho wanna freak me like it's 94 and I'm JoJo Told the ho when she meet me on the creep creep no photos Got a bad bitch and she choke and all she want is these shows Hit me up the status is kosher Dome me up watching Colbert Nigga I'm never sober Hungover And that bag Dipping with my index my pinky up like that So bitch I'm on some movie shit No director shit but Spike that Bought an eigth of them cookies Two hours I was right back Flo's in them cups so nigga go and Sprite that Yo bitch know what's up my nigga go on and light that I'm slumped against the wall bitches on my box  Red head ho look like Molly Ringwald Molly Ringwald Molly Ringwald Red head ho look like Molly Ringwald Off that Molly Ringwald STYLE!"
liveeveryday,"Bitches in the kitchen, roaches in the cereal box Front open but the screen don't lock We just live everyday, we don't go no prob Piss in the alleyway we ain't got no pot The hook want us all, law harassing us daily Pyrex pot still feed our babies Crackhead moms sell dick for fixes Forced to sell rocks, do two a rendition Now a hundred, ninety-nine die in a million Still hiding work in my grandma's ceiling Old school stash in a crown royal bag Thinking of the future cause the past is the past Pain in my heart cause my daughter miss her dad Wanna get my life straight, give her what I never had Pain in my heart cause my daughter miss her dad Wanna get my life straight, give her what I never had"
gremlins,"I know some lil' niggas that thirst cream That pop a bitch on camera and we ain't talkin' bout twerk team Shootin' up cribs turnin' porches to smokescreens Mama smoking nightmares chasin' her pipe dream Hard to give advice behind the mind of the call So his limits have ceilings cause his pop behind walls School become a free meal Tree become a cheap thrill Same prices pa paid he gon' pay a cheap deal Hourglasss empty but he lookin' for a refill Revolver breakdancin, yeah he make that bitch windmill Guess he's just a psycho in the city in the Chrysler Everybody livin' spiteful nigga lookin' just to ice you So we livin' hostile just to cop some Aeropostale Trenchcoat Mafia, for a lil' Hollister Gotta get his dollas up So we hit the dice game Lost all his re-up, now he rob the dice game Probation violation call his ass the son of Satan Got these old niggas scared like it's crystal lake and Jason Cause they been through cases they ain't tryna go back Fresh meat up on the street he give a fuck about that Snatchin' Carti's downtown wear 'em same damn week Tryna get the same bitches on the same damn street Rob a ho ass nigga at the same damn time At the same damn time, at the same damn time Cause they gremlins  Gremlin  He just wanna smoke some kush And fuck with some hoes at the mall For that shit, he wished it all Baby face and all, my lil' nigga gotta ball, lil' nigga gotta ball Run up on you where that money at Fuck nigga after that Lean in that double cup Lil nigga screwed up Pop a pill nigga And he don' feel nigga You do it in the song, he do it for real nigga And all his OGs is either dead or in prison Scared to talk to him like, fuck it they won't listen Unnecessary shit, thinkin' that he has to A pair of True Religions dog, my lil nigga blast you Listenin' to 2 Chainz, ain't thinkin' bout college I wonder if he knew that 2 Chainz went to college I wonder if he knew that, would that change his mind? Guess that's somethin' we'll find in due time"
guitarsolo,"My little nigga fourteen... Got his hand on the forty with the infrared beam His daddy locked up and his mama is a fiend Catch her trickin' on the corner, knees dirty on her jeans At night he never dreams cause he hardly ever sleep Layin' in the bed facin' someone else's feet So late night he creep, walk around these streets With the same hoodie on, he been wearin' for a week He wants something to eat, and his sneaks so scuffed Just lookin' in his eyes, you can tell he livin' rough Standing outside a gas station puffin' on a loosie Dropped outta school cause his peers appeared bougie And they wear gucci, and shit that rappers talk Robbed an old lady but his ass got caught Will he get out, man I really don't know bro I hope I'll find out after the guitar solo  After the guitar solo... The guitar solo... After the guitar solo... The guitar solo...  This little girl pregnant man she only fourteen Bust in by an older nigga, lack of self-esteem Her mom's a gold-digger, and her dad is not around Last time she saw him he took her to Belle Isle A child with a child and her mama don't care Another bridge card gon' put her on welfare Baby daddy say he got her, prolly won't succeed Cause he bought a pair of cardi's 'stead of reing-up the weed His dream is a cutty with some rims on that bitch Is that the type of man you want raising your kids? So now you ditch class cause your belly getting bigger And every other day yo' mama fuck another nigga So what she gonna do is find herself a drug dealer Her dream and goal in life is to be saved by a nigga And will she get far? I really don't know bro I hope I find out after the guitar solo  The guitar solo... After the guitar solo... The guitar solo... Guitar solo..."
smokindrinkin," Check A-Trak, what up?   Drop a deuce in that soda Tell your ho to come over Coming straight out that Motor Sipping oil never sober Bring backwoods of that OG, we smoking them back-to-back Molly looking like sugar, so you know that I'm dipping it See my jeans by the stack, and my shoes cost 'bout half of that Let's not talk 'bout the shirt She can't even pronounce that Ghetto nigga on high end My theory is low end My tribe on a quest, put that money in motion So bitch, we smoking and drink Drinking and smoke My ho got tats on her face Sell me them cookies from Oakland But not the kind that you eat, stuff it in Swisher Sweets And we smoke blunt after blunt after blunt after blunt after blunt after blunt after blunt   I don't know what y'all be thinking Spaced-out, rolling up that stinky Big big blunts the size of pinkies Pour one out, we still be leaning I don't know what y'all be thinking Smoking, drinking, drinking, smoking In that order, we slow motion 'Til it's over, never stop   Smoking and drink Drinking and smoke We be smoking and drink Drinking and smoke    Gotta get away, to escape, I smoke this kush to the face Gotta get away, get away, I think I need the brain Please oh Lord, oh Lord, I need your help again Took too many pills, and I think I hear my heart beating Taking over those chances, honey backwoods stuffed with that grammy My ho blowing on that potter, mixing liquor with them xannies Stress party, get away, hope that these problems just go away Right there in my face, I ignore it every day      "
3tearz,"Used to cut the rock with no glove on Shove on, for the block, developed a 'Love Jones' The reasons why your hoe got them rug burns It's 'No limit', call me 'Mr. Serv-on' Work all day till the work gone Talking back in the day when I had chirp phone My nigga made a wrong turn, got flipped in the zone Had to say I was a smoker just so I could go home Everyday another episode I'm just tryna hear the beat like a stethoscope Like my bassline's thick, like a Texas hoe It was written but the signature not legible Drink so much, I could drown a fish On some other shit, a demon on the hunt for the succubus Why you on some cuddle shit? Hit it then fuck a bitch I don't think you know who you're fucking with  Two tears in the bucket, fuck it I don't care about nothing, nothing Two tears in the bucket, fuck it I don't care about nothing, nothing  Danny is dangerous, Run the Jewels is chaos and arrangement Shit'll give your fuck face a face lift Papa did the triple Lindsey flip when the 'cane hit Mama never met a bottle that she couldn't drain quick, aye Stuck in a rude mood, the fuck shit approaches Like we believe in nothing, Lebowski, there's no motive I'm Babylon, tryna get bags like fuck all of 'em Death is on my couch and I'm tellin' him jokes, stallin' him Plus, I offer one of my smokes, he smoked all of 'em True Doom eat up the crew like 'Mm... Food' Say the name, it's like you're praying for pain, we too rude Gotta brain? You gon' move it or lose it, you screwed I'm profane, yes deranged and I say, ""Real shit"" If I'm correct, the really cool kids probably callin' it 'lit' Call the shit that I am culling from my brain with a switch Hold my beer, I'm 'bout to go and get rich, motherfuckers  Three tears in the bucket, fuck it I don't care about nothing, nothing Three tears in the bucket, fuck it I don't care about nothing, nothing  Hold up, I don't give a fuck 'bout Trump, who got dumped Who protestin' collections at their garbage dump? And I don't really give a fuck about giving a fuck And who feels the black celebrities ain't givin' enough Give 'em the dick, fat slick son of a bitch Better than you are, what you are's the son of a whore My dad told me that your mom was something mean on her knees But thank God we ain't related 'cause she swallowed the seeds Happy belated, I'm elated to know we ain't related So tell your special kids stop saying, ""Auntie Shay"" to my lady I sip on fine wines, fine dine with dimes and nines I got an Einstein mind and I still tote iron I'm a P-I-M-P in my own rhyme Space age, gorilla pimpin' out the cage with mine (What you steal from me nigga?) If it's goddamn mine (Would you kill for me nigga?), bitch, you out yo' goddam mind And that's goddamn right, I'm goddam Mike Win in the end, like Tina did goddamn Ike  Three tears in the bucket, fuck it I don't care about nothing, nothing Three tears in the bucket, fuck it I don't care about nothing, nothing Three tears in the bucket, fuck it I don't care about nothing, nothing Bucket, fuck it I don't care about nothing, nothing Three tears in the bucket, fuck it I don't care about nothing, nothing"
freshofftheboat,"Fresh off the boat You can tell the way I wear my clothes That I'm fresher than a scent from a rock Fresh off the boat You can tell the way I wear my gold That I shine anywhere around the globe Fresh off the boat Getting mine everywhere I go So if you don't know homie now you know Fresh off the boat And homie I demand my respect Everywhere I go I rep my set I'm fresh off the boat   Homie, you don't know where I come from But I know where I'ma go Fresh off the boat"
red2go,"Codeine in my cereal, always behind a smokey I'm sorta like a miracle, you rappers are venereal And never in my stereo, might spray your ass with vinegar The next time that I see ya bro Bet yo ass still won't be tight The size of my dick nigga, every pussy tight I write all night til the sun comes up Dodging texts from yo sista tryna lick on my nuts Cobra clutch the game, put that bitch into submission Yo bitch want the stick shift, no transmission Dawg, I'm on a mission, you're playing exhibition On an expedition, poppin X but never trippin Chillin with a vixen, tryna stick my dick in Red head ho, like a young Kathy Griffin Smoked too many blunts, I can hear my lungs whistlin' Still rollin up, ho smellin like chicken Rap Martin Lawrence, all you other rappers boring Bruiser make 2 Live Crew look like some mormons Nigga my essay is hard like a life-doin' ese Gang banging on the yard with a home made machete The nicest cassette tapes, stay smokin' heavy Popped a couple pills, eye's glowing like Belly Used to stash the cracks in the seams of my Pelle Detroit nigga, but I'm smokin' on LA   And is anybody nervous? I'm red to go  I said is anybody worried? I'm red to go  Is anybody scared? I'm red to go  Well I used to be afraid I'm red to go   Tired of where I came from but know where I'm goin' Tears in my eyes cause I'm smokin' on an onion Aroma on that 'etra scary and McNairy Off of moon rocks in Barcelona poppin' cherries Blowjobs from model twins Doin' drugs with acronyms So many lines thought this shit was bush garden Party startin' monster with the hair like Blanka Hotel room like a hair metal concert This blonde made the dick do the spring on  You disrespect I hit you with the slap of Tatanka Remember nigga used to eat shit that didn't match Like cornbeef hash and some fuckin' Apple Jacks Used to bag up the packs at  every night Bologna all night, with no peanut butter, couldn't waste it on the mic So I waste every night, everything came with rice And I knew I wouldn't write So I got my ass up, fuck dependin' on luck Greyhound to NY bout 300 bucks Kept my hopes up but my confidence was low Now my self esteem is astral Lookin' at this cash flow  Did it my way, I ain't nobody ho I'm bout to pimp the rap game Bitch I'm red to go   "
goldust,Bust it open Flake looking like gold dust Nigga get a whiff of this uncut Bloody Marys at brunch From last night still drunk Popped a Adderall nigga that was my lunch And I gotta hunch Roll another blunt Call some hoes up nigga lets do some bumps Caught up in the whirlwind Life took a tail spin Hid behind designer shades Life of sin Lost control Don't have a soul Myself I don't know no more Numbing up with drugs To suppress these feelings Praying to the heavens Letting these devils get the best of me Nigga what's the recipe for a good time A whole lot of liquor while you doing coke lines Residue on my mustache How could it last Roll a hundred dollar bill Nigga blow cash  Can't nobody tell me no Nigga pass me that blow Got to the point ain't gotta buy drugs Niggas just give to em to me Yea they think they showing love And that's what's up Kinda fucked up Now I do way it more then I use to Have no clues All the false alarms Where most would of died But my tolerance strong Been cursed all alone Whole family addicts Floating through my bloodstream Like I gotta have it Tried to quit a few times But it didn't work out Can you understand What my life is about Cause I think you don't So take a step inside A mind so horrific Images that I hide Take look inside Scare you for life This is the way Nigga step inside  Mimosa for breakfast With a thick hoe from Texas Got good karma Feel the persona Got the Hermes towel while I'm up in the sauna Smoking on ganja Tasting like caramel Ass so fat think she get it from hermomma Came along way hitting thots in spots Now I fuck pornstars I done jerked off and watched Spending racks up in  Bergdorf Bitches take ya shirt off Took a couple molly's Now they wanna have a twerk off Guess who the judge Why they hold the grudge Me I done got it on my own out the mud Will it all last Will it all last Roll a hundred dollar bill Nigga blow cash Will it all last Will it all last Roll a hundred dollar bill Blowing money fast
adderalladmiral," Eating on an Adderall, wash it down with alcohol  Writing holy mackarel, actual all factual Out for the capital, matador ya capsules Hassle the bitch in a castle with the ill grapples Tackled her asshole, my dick was like a lasso Fucked her in her mouth she washed it down with Tabasco   You softer than Flanders' son Don't make me put hands on son Jump niggas like ""Fuck one on one."" Used to be locked up watching One on One Young Kyla Pratt was looking thick, nigga wanted some But soon as I got out white bitches by the tons   I fuck bad bitches to Stacy Lattisaw While you niggas got blue balls like a Avatar Eating caviar in El Salvador She running from my dick like it's a bull and she the matador She a pregnant labrador Said my metaphors are the highest caliber   I spit hard, you hallmark card poets So many lines, you can bar code it She like to lick it on the head while she slow stroke it Ocean in her panties and I'm 'bout to float through it Rewind this and just smoke to it"
